#{"t_start": 1716450003.0570242, "env_id": null}
r,l,t
102.0,120,209.62299
86.0,146,210.043933
32.0,226,211.447666
18.0,246,211.80679
117.0,124,214.007995
90.0,140,216.406152
20.0,242,220.419498
794.0,524,229.173918
19.0,244,234.42298
101.0,124,236.347741
-133.0,8020,392.858816
-133.0,8020,392.858816
123.0,90,394.171865
-133.0,8020,394.628979
-133.0,8020,395.035165
-133.0,8020,418.210192
391.0,232,418.953083
-133.0,8020,437.176314
119.0,96,438.600157
-133.0,8020,592.820348
126.0,90,594.197609
-101.0,8020,594.635955
-133.0,8020,595.030179
124.0,94,595.597578
125.0,90,596.006447
-133.0,8020,596.261452
120.0,92,596.445573
122.0,90,597.4107
-133.0,8020,597.751133
122.0,90,597.846358
123.0,92,621.996593
135.0,96,622.235736
601.0,290,623.930909
125.0,92,624.697417
122.0,88,625.745928
-133.0,8020,639.661212
602.0,284,643.847958
-133.0,8020,797.654249
-133.0,8020,798.361483
118.0,98,799.614769
-133.0,8020,802.069782
-101.0,8020,802.79922
607.0,282,853.413699
109.0,112,855.909749
604.0,330,858.185018
-133.0,8020,859.18516
-133.0,8020,894.931133
122.0,98,897.930159
-101.0,8020,1245.560086
-133.0,8020,1250.703834
-133.0,8020,1258.917898
-133.0,8020,1317.182639
-101.0,8020,1318.167596
132.0,98,1320.983518
132.0,102,1323.647405
-133.0,8020,1357.356607
817.0,414,1370.013916
-101.0,8020,1581.554766
-133.0,8020,1584.06496
-133.0,8020,1588.377729
-101.0,8020,1589.551039
130.0,102,1591.076287
606.0,262,1614.458547
119.0,98,1614.570712
-101.0,8020,1614.868756
122.0,96,1615.245838
116.0,98,1615.397181
120.0,96,1615.747623
-133.0,8020,1636.485479
119.0,98,1637.958562
116.0,98,1639.395306
115.0,100,1640.97472
-101.0,8020,1786.095205
-133.0,8020,1788.602315
119.0,94,1790.078613
-133.0,8020,1821.305069
-133.0,8020,1821.458751
-69.0,8020,1821.756758
606.0,308,1824.106366
-133.0,8020,1845.966641
607.0,298,1872.768728
771.0,510,1878.26961
118.0,94,1879.647695
752.0,872,1892.673331
-101.0,8020,1989.013949
-101.0,8020,1992.608127
122.0,96,1994.087927
-133.0,8020,2000.979199
-133.0,8020,2001.854901
124.0,94,2003.368446
-101.0,8020,2028.292528
-101.0,8020,2096.310688
604.0,302,2100.802443
27.0,8020,2191.58445
118.0,96,2193.050498
121.0,96,2194.562792
122.0,98,2196.125945
-101.0,8020,2197.143328
119.0,94,2197.612389
118.0,96,2198.691539
120.0,94,2199.076063
120.0,96,2200.06728
27.0,8020,2204.052101
91.0,134,2206.451041
-101.0,8020,2206.714579
118.0,100,2207.949117
771.0,496,2207.981603
-101.0,8020,2209.330927
117.0,96,2209.419442
118.0,94,2233.257912
122.0,96,2234.122658
116.0,100,2235.01882
121.0,94,2236.291418
119.0,94,2237.866217
-101.0,8020,2308.297148
118.0,96,2309.734807
-133.0,8020,2406.881183
110.0,108,2408.558662
104.0,114,2410.374149
121.0,98,2411.884476
-101.0,8020,2414.351905
27.0,8020,2415.676181
-101.0,8020,2417.072669
-101.0,8020,2444.936736
107.0,120,2446.186917
118.0,98,2447.50764
124.0,88,2448.74186
96.0,134,2450.635407
1189.0,1810,2458.953285
108.0,114,2460.72754
120.0,94,2462.163724
119.0,92,2463.51952
108.0,112,2465.227422
-101.0,8020,2513.044166
110.0,110,2514.783366
1197.0,1180,2553.847874
112.0,108,2555.518687
126.0,82,2556.627591
110.0,112,2558.345606
120.0,100,2559.94523
-101.0,8020,2621.650859
129.0,82,2622.918636
-101.0,8020,2622.983631
-133.0,8020,2624.364252
114.0,104,2624.492598
129.0,84,2625.854675
120.0,100,2625.967835
127.0,84,2627.144825
129.0,78,2627.164496
122.0,96,2628.642201
123.0,90,2653.158253
118.0,102,2653.881779
385.0,342,2654.311954
113.0,102,2654.731676
122.0,94,2655.142622
129.0,80,2655.406155
124.0,86,2656.194772
119.0,92,2657.428367
125.0,90,2658.637803
-69.0,8020,2658.779654
125.0,88,2660.040745
124.0,92,2661.465348
129.0,80,2662.607846
140.0,90,2663.934991
393.0,406,2664.609375
115.0,100,2665.398956
126.0,84,2665.859982
145.0,84,2666.660991
126.0,88,2667.17414
134.0,80,2667.898392
126.0,82,2668.4187
128.0,80,2669.089907
123.0,90,2669.788634
130.0,82,2670.326846
119.0,92,2671.195911
131.0,80,2671.611027
123.0,96,2672.796868
134.0,94,2673.121214
-133.0,8020,2673.310411
130.0,80,2674.319644
125.0,86,2674.591991
120.0,100,2675.781749
125.0,92,2675.910664
125.0,88,2677.021308
127.0,86,2677.138052
129.0,86,2678.421685
125.0,86,2678.547718
131.0,78,2679.624715
129.0,84,2679.85754
130.0,84,2681.135458
-133.0,8020,2765.306827
131.0,80,2766.470334
126.0,84,2767.762217
135.0,78,2768.920977
133.0,78,2770.22858
627.0,3394,2772.45467
135.0,78,2773.603838
133.0,76,2774.789542
131.0,76,2775.991605
131.0,82,2777.215901
135.0,78,2778.399469
135.0,78,2779.537636
131.0,80,2780.779879
132.0,78,2781.921175
129.0,78,2783.138949
130.0,76,2806.364094
136.0,76,2806.982866
134.0,80,2807.676444
131.0,78,2808.381523
407.0,402,2813.454942
135.0,78,2814.456923
134.0,76,2815.596349
393.0,222,2818.947406
131.0,76,2820.12114
134.0,78,2821.379349
132.0,76,2822.576307
132.0,78,2823.790526
-133.0,8020,2824.290456
134.0,76,2824.984451
135.0,76,2825.450262
134.0,76,2826.154714
132.0,76,2826.622181
135.0,76,2827.274723
131.0,76,2827.676171
1003.0,2526,2828.040602
135.0,78,2828.865375
884.0,7638,2829.143284
131.0,78,2829.2631
132.0,76,2830.006036
132.0,78,2830.29839
134.0,78,2830.420968
130.0,76,2831.15184
133.0,78,2831.466326
131.0,78,2831.590952
134.0,78,2832.28088
131.0,78,2832.641741
148.0,80,2832.796225
133.0,76,2833.534957
132.0,80,2856.851394
133.0,76,2856.897956
135.0,76,2857.298107
133.0,74,2857.523772
131.0,74,2857.573881
131.0,74,2858.208422
134.0,74,2858.277404
135.0,76,2858.888222
132.0,76,2859.52967
132.0,76,2860.494362
-133.0,8020,2874.395733
-133.0,8020,2881.242122
131.0,76,2882.393148
131.0,74,2883.608947
-133.0,8020,3032.198839
125.0,82,3033.43894
123.0,90,3034.858148
113.0,102,3036.31532
120.0,96,3037.732691
127.0,86,3039.017077
-101.0,8020,3039.495378
128.0,88,3040.309584
131.0,82,3040.747067
-133.0,8020,3041.097564
129.0,82,3064.791118
-133.0,8020,3066.07392
133.0,76,3066.719779
132.0,78,3067.566705
27.0,8020,3079.209349
-37.0,8020,3088.233283
142.0,82,3089.533708
130.0,78,3090.756893
1245.0,773,3122.649734
127.0,84,3123.868632
549.0,1326,3144.234457
755.0,832,3176.98586
-101.0,8020,3244.548725
-101.0,8020,3244.969685
-133.0,8020,3246.616244
128.0,84,3247.954574
-133.0,8020,3272.750387
792.0,496,3273.408477
116.0,98,3273.657837
-101.0,8020,3282.945854
575.0,828,3295.896523
-101.0,8020,3381.859504
252.0,3512,3389.896853
1021.0,5250,3393.107562
566.0,1088,3428.660375
-101.0,8020,3449.689949
-133.0,8020,3452.634797
-101.0,8020,3479.80545
563.0,1074,3486.984164
-101.0,8020,3587.765158
-101.0,8020,3599.344029
776.0,486,3606.839911
126.0,88,3608.266266
-101.0,8020,3634.530167
27.0,8020,3656.908912
125.0,88,3658.168235
631.0,8020,3661.656092
-101.0,8020,3691.489043
1068.0,1426,3713.651873
126.0,86,3715.031157
593.0,534,3743.635433
356.0,5192,3753.584317
762.0,698,3764.524801
125.0,90,3765.910236
116.0,98,3790.286216
-101.0,8020,3792.991808
1002.0,2558,3803.602924
748.0,954,3807.157805
128.0,86,3808.428365
132.0,82,3809.609998
-101.0,8020,3812.998427
125.0,90,3814.407954
141.0,82,3815.631784
599.0,464,3844.389177
1220.0,1227,3849.122143
143.0,82,3850.398076
129.0,80,3851.631679
389.0,216,3854.881022
-101.0,8020,3864.46325
-101.0,8020,3868.036396
124.0,84,3869.36646
730.0,1302,3896.727859
741.0,1098,3902.571247
131.0,80,3903.689382
1083.0,932,3904.540013
146.0,82,3904.939543
-101.0,8020,3973.264415
769.0,528,4002.543434
-101.0,8020,4009.365917
145.0,84,4010.662373
600.0,290,4015.223021
1078.0,1176,4020.078298
-101.0,8020,4051.024754
571.0,914,4054.578996
554.0,1150,4071.308552
-101.0,8020,4102.233673
149.0,80,4102.885486
144.0,80,4103.606733
523.0,8020,4108.199279
-101.0,8020,4108.550932
-101.0,8020,4219.653366
413.0,282,4223.917258
-101.0,8020,4233.13661
1235.0,1003,4260.365351
812.0,422,4260.479113
399.0,292,4263.911005
770.0,512,4267.395465
-101.0,8020,4276.081248
-101.0,8020,4309.807667
867.0,376,4313.823972
-101.0,8020,4314.009217
-101.0,8020,4314.369805
1225.0,742,4325.772953
1240.0,931,4327.972146
764.0,624,4337.22669
1187.0,2021,4364.735688
1238.0,877,4370.681764
1249.0,722,4375.824863
757.0,762,4382.449401
603.0,304,4387.030823
135.0,76,4388.195297
1536.0,1088,4415.038163
1714.0,1146,4431.042567
796.0,1498,4432.341892
770.0,504,4438.773561
818.0,610,4441.656719
-101.0,8020,4469.490055
-101.0,8020,4472.688734
1538.0,1138,4479.56011
806.0,492,4480.146327
-101.0,8020,4481.218428
582.0,316,4484.878047
398.0,586,4488.358675
752.0,870,4518.439215
-101.0,8020,4528.737445
1653.0,4601,4640.940611
-101.0,8020,4642.775401
597.0,356,4646.589918
598.0,272,4647.013285
389.0,202,4672.813965
133.0,74,4673.499101
597.0,366,4673.995557
-101.0,8020,4674.227457
380.0,320,4678.137263
132.0,74,4679.194201
762.0,746,4683.588567
-101.0,8020,4685.806883
1542.0,966,4688.279807
393.0,686,4689.611813
409.0,374,4691.501469
-101.0,8020,4693.095986
573.0,780,4695.619796
611.0,490,4699.100714
-101.0,8020,4724.942226
1237.0,952,4725.014004
1250.0,649,4725.058067
136.0,74,4725.605641
135.0,74,4725.721343
126.0,82,4726.365192
872.0,480,4730.328712
600.0,340,4730.475406
617.0,418,4730.603344
1440.0,1226,4734.195266
